pos,nombre_imagen,id_probeta
86,P10_C1_G40_Recorte_Recorte_C_3.1.tiff,10
88,P10_C2_G40_Recorte_Recorte_C_3.4.tiff,10
831,P10_C1_G180_Recorte_Recorte_A1_1.5.tiff,10
212,P10_C2_G40_Recorte_Recorte_C_3.3.tiff,10
541,P10_C1_G120_Recorte_Recorte_A2_1.1.tiff,10
613,P10_C2_G120_Recorte_Recorte_A1_1.1.tiff,10
104,P10_C1_G40_Recorte_Recorte_C_3.4.tiff,10
317,P10_C2_G80_Recorte_Recorte_C_3.2.tiff,10
786,P10_C1_G180_Recorte_Recorte_B_2.5.tiff,10
813,P10_C1_G180_Recorte_Recorte_B_2.6.tiff,10
274,P10_C1_G80_Recorte_Recorte_A1_1.3.tiff,10
786,P10_C1_G180_Recorte_Recorte_B_2.5.tiff,10
167,P10_C2_G40_Recorte_Recorte_B_2.4.tiff,10
14,P10_C1_G40_Recorte_Recorte_A2_1.2.tiff,10
202,P10_C2_G40_Recorte_Recorte_C_3.2.tiff,10
363,P10_C1_G80_Recorte_Recorte_B_2.1.tiff,10
614,P10_C2_G120_Recorte_Recorte_A2_1.1.tiff,10
702,P10_C2_G120_Recorte_Recorte_B_2.2.tiff,10
420,P10_C1_G80_Recorte_Recorte_B_2.5.tiff,10
84,P10_C1_G40_Recorte_Recorte_B_2.2.tiff,10
543,P10_C1_G120_Recorte_Recorte_A1_1.6.tiff,10
539,P10_C1_G120_Recorte_Recorte_C_3.1.tiff,10
107,P10_C1_G40_Recorte_Recorte_B_2.4.tiff,10
614,P10_C2_G120_Recorte_Recorte_A2_1.1.tiff,10
708,P10_C2_G120_Recorte_Recorte_C_3.6.tiff,10
323,P10_C1_G80_Recorte_Recorte_A1_1.2.tiff,10
829,P10_C2_G180_Recorte_Recorte_A1_1.1.tiff,10
985,P10_C2_G180_Recorte_Recorte_C_3.4.tiff,10
274,P10_C1_G80_Recorte_Recorte_A1_1.3.tiff,10
237,P10_C2_G40_Recorte_Recorte_B_2.6.tiff,10
853,P10_C1_G180_Recorte_Recorte_C_3.6.tiff,10
8,P10_C1_G40_Recorte_Recorte_A2_1.4.tiff,10
86,P10_C1_G40_Recorte_Recorte_C_3.1.tiff,10
517,P10_C2_G80_Recorte_Recorte_A2_1.5.tiff,10
786,P10_C1_G180_Recorte_Recorte_B_2.5.tiff,10
835,P10_C1_G180_Recorte_Recorte_B_2.2.tiff,10
899,P10_C1_G180_Recorte_Recorte_C_3.1.tiff,10
881,P10_C1_G180_Recorte_Recorte_A1_1.6.tiff,10
738,P10_C2_G120_Recorte_Recorte_A2_1.2.tiff,10
1016,P10_C2_G180_Recorte_Recorte_A2_1.3.tiff,10
372,P10_C1_G80_Recorte_Recorte_A2_1.6.tiff,10
802,P10_C1_G180_Recorte_Recorte_A1_1.1.tiff,10
396,P10_C2_G80_Recorte_Recorte_C_3.3.tiff,10
399,P10_C2_G80_Recorte_Recorte_B_2.4.tiff,10
743,P10_C2_G120_Recorte_Recorte_A2_1.3.tiff,10
607,P10_C1_G120_Recorte_Recorte_B_2.2.tiff,10
399,P10_C2_G80_Recorte_Recorte_B_2.4.tiff,10
798,P10_C1_G180_Recorte_Recorte_B_2.3.tiff,10
215,P10_C2_G40_Recorte_Recorte_A2_1.1.tiff,10
372,P10_C1_G80_Recorte_Recorte_A2_1.6.tiff,10
918,P10_C2_G180_Recorte_Recorte_B_2.3.tiff,10
13,P10_C1_G40_Recorte_Recorte_A1_1.2.tiff,10
221,P10_C2_G40_Recorte_Recorte_A1_1.2.tiff,10
698,P10_C2_G120_Recorte_Recorte_A2_1.6.tiff,10
407,P10_C2_G80_Recorte_Recorte_B_2.1.tiff,10
1016,P10_C2_G180_Recorte_Recorte_A2_1.3.tiff,10
985,P10_C2_G180_Recorte_Recorte_C_3.4.tiff,10
275,P10_C1_G80_Recorte_Recorte_A2_1.3.tiff,10
202,P10_C2_G40_Recorte_Recorte_C_3.2.tiff,10
237,P10_C2_G40_Recorte_Recorte_B_2.6.tiff,10
697,P10_C2_G120_Recorte_Recorte_A1_1.6.tiff,10
688,P10_C2_G120_Recorte_Recorte_C_3.1.tiff,10
155,P10_C2_G40_Recorte_Recorte_B_2.1.tiff,10
359,P10_C1_G80_Recorte_Recorte_B_2.3.tiff,10
853,P10_C1_G180_Recorte_Recorte_C_3.6.tiff,10
607,P10_C1_G120_Recorte_Recorte_B_2.2.tiff,10
180,P10_C2_G40_Recorte_Recorte_B_2.5.tiff,10
879,P10_C1_G180_Recorte_Recorte_C_3.4.tiff,10
914,P10_C2_G180_Recorte_Recorte_A2_1.4.tiff,10
178,P10_C2_G40_Recorte_Recorte_B_2.2.tiff,10
755,P10_C2_G120_Recorte_Recorte_C_3.4.tiff,10
26,P10_C1_G40_Recorte_Recorte_A1_1.3.tiff,10
77,P10_C1_G40_Recorte_Recorte_B_2.5.tiff,10
786,P10_C1_G180_Recorte_Recorte_B_2.5.tiff,10
830,P10_C2_G180_Recorte_Recorte_A2_1.1.tiff,10
1015,P10_C2_G180_Recorte_Recorte_A1_1.3.tiff,10
289,P10_C1_G80_Recorte_Recorte_A2_1.4.tiff,10
317,P10_C2_G80_Recorte_Recorte_C_3.2.tiff,10
274,P10_C1_G80_Recorte_Recorte_A1_1.3.tiff,10
124,P10_C2_G40_Recorte_Recorte_A1_1.5.tiff,10
901,P10_C2_G180_Recorte_Recorte_C_3.2.tiff,10
351,P10_C1_G80_Recorte_Recorte_A1_1.1.tiff,10
1016,P10_C2_G180_Recorte_Recorte_A2_1.3.tiff,10
671,P10_C2_G120_Recorte_Recorte_C_3.3.tiff,10
11,P10_C1_G40_Recorte_Recorte_A1_1.1.tiff,10
45,P10_C1_G40_Recorte_Recorte_A2_1.5.tiff,10
985,P10_C2_G180_Recorte_Recorte_C_3.4.tiff,10
969,P10_C2_G180_Recorte_Recorte_A2_1.5.tiff,10
829,P10_C2_G180_Recorte_Recorte_A1_1.1.tiff,10
125,P10_C2_G40_Recorte_Recorte_A2_1.5.tiff,10
333,P10_C1_G80_Recorte_Recorte_B_2.4.tiff,10
539,P10_C1_G120_Recorte_Recorte_C_3.1.tiff,10
12,P10_C1_G40_Recorte_Recorte_A2_1.1.tiff,10
221,P10_C2_G40_Recorte_Recorte_A1_1.2.tiff,10
77,P10_C1_G40_Recorte_Recorte_B_2.5.tiff,10
131,P10_C2_G40_Recorte_Recorte_A2_1.6.tiff,10
738,P10_C2_G120_Recorte_Recorte_A2_1.2.tiff,10
396,P10_C2_G80_Recorte_Recorte_C_3.3.tiff,10
985,P10_C2_G180_Recorte_Recorte_C_3.4.tiff,10
685,P10_C2_G120_Recorte_Recorte_A1_1.4.tiff,10
341,P10_C1_G80_Recorte_Recorte_A1_1.5.tiff,10
266,P10_C1_G80_Recorte_Recorte_C_3.4.tiff,10
288,P10_C1_G80_Recorte_Recorte_A1_1.4.tiff,10
26,P10_C1_G40_Recorte_Recorte_A1_1.3.tiff,10
832,P10_C1_G180_Recorte_Recorte_A2_1.5.tiff,10
835,P10_C1_G180_Recorte_Recorte_B_2.2.tiff,10
178,P10_C2_G40_Recorte_Recorte_B_2.2.tiff,10
671,P10_C2_G120_Recorte_Recorte_C_3.3.tiff,10
1007,P10_C2_G180_Recorte_Recorte_B_2.4.tiff,10
544,P10_C1_G120_Recorte_Recorte_A2_1.6.tiff,10
273,P10_C1_G80_Recorte_Recorte_C_3.6.tiff,10
755,P10_C2_G120_Recorte_Recorte_C_3.4.tiff,10
891,P10_C2_G180_Recorte_Recorte_A2_1.6.tiff,10
438,P10_C2_G80_Recorte_Recorte_A2_1.2.tiff,10
12,P10_C1_G40_Recorte_Recorte_A2_1.1.tiff,10
1015,P10_C2_G180_Recorte_Recorte_A1_1.3.tiff,10
656,P10_C2_G120_Recorte_Recorte_B_2.3.tiff,10
881,P10_C1_G180_Recorte_Recorte_A1_1.6.tiff,10
408,P10_C2_G80_Recorte_Recorte_C_3.1.tiff,10
685,P10_C2_G120_Recorte_Recorte_A1_1.4.tiff,10
74,P10_C1_G40_Recorte_Recorte_A2_1.6.tiff,10
613,P10_C2_G120_Recorte_Recorte_A1_1.1.tiff,10
89,P10_C1_G40_Recorte_Recorte_C_3.6.tiff,10
134,P10_C1_G40_Recorte_Recorte_C_3.2.tiff,10
816,P10_C1_G180_Recorte_Recorte_A1_1.4.tiff,10
162,P10_C2_G40_Recorte_Recorte_C_3.6.tiff,10
497,P10_C2_G80_Recorte_Recorte_A2_1.6.tiff,10
45,P10_C1_G40_Recorte_Recorte_A2_1.5.tiff,10
222,P10_C2_G40_Recorte_Recorte_A2_1.2.tiff,10
148,P10_C2_G40_Recorte_Recorte_C_3.5.tiff,10
882,P10_C1_G180_Recorte_Recorte_A2_1.6.tiff,10
107,P10_C1_G40_Recorte_Recorte_B_2.4.tiff,10
77,P10_C1_G40_Recorte_Recorte_B_2.5.tiff,10
832,P10_C1_G180_Recorte_Recorte_A2_1.5.tiff,10
324,P10_C1_G80_Recorte_Recorte_A2_1.2.tiff,10
12,P10_C1_G40_Recorte_Recorte_A2_1.1.tiff,10
351,P10_C1_G80_Recorte_Recorte_A1_1.1.tiff,10
26,P10_C1_G40_Recorte_Recorte_A1_1.3.tiff,10
802,P10_C1_G180_Recorte_Recorte_A1_1.1.tiff,10
204,P10_C2_G40_Recorte_Recorte_A2_1.4.tiff,10
438,P10_C2_G80_Recorte_Recorte_A2_1.2.tiff,10
922,P10_C2_G180_Recorte_Recorte_C_3.3.tiff,10
830,P10_C2_G180_Recorte_Recorte_A2_1.1.tiff,10
