image,specimen_id,grit,Ra_um,Rz_um,is_outlier,outlier_Ra,outlier_Rz,cv_fold
P10_C1_G120_Recorte_Recorte_A1_1.1.tiff,10,120,3.553632975942307,27.4769529646411,False,False,False,3
P10_C1_G120_Recorte_Recorte_A1_1.2.tiff,10,120,3.651156299763539,30.09749645030067,False,False,False,3
P10_C1_G120_Recorte_Recorte_A1_1.3.tiff,10,120,3.512943870028485,28.99407143714397,False,False,False,3
P10_C1_G120_Recorte_Recorte_A1_1.5.tiff,10,120,3.916893591855059,33.2572460391698,True,False,True,0
P10_C1_G120_Recorte_Recorte_A1_1.6.tiff,10,120,3.530003380705771,27.8461036240799,False,False,False,3
P10_C1_G120_Recorte_Recorte_A2_1.1.tiff,10,120,3.553632975942307,27.4769529646411,False,False,False,3
P10_C1_G120_Recorte_Recorte_A2_1.2.tiff,10,120,3.651156299763539,30.09749645030067,False,False,False,3
P10_C1_G120_Recorte_Recorte_A2_1.3.tiff,10,120,3.512943870028485,28.99407143714397,False,False,False,3
P10_C1_G120_Recorte_Recorte_A2_1.5.tiff,10,120,3.916893591855059,33.2572460391698,True,False,True,0
P10_C1_G120_Recorte_Recorte_A2_1.6.tiff,10,120,3.530003380705771,27.8461036240799,False,False,False,3
P10_C1_G120_Recorte_Recorte_B_2.2.tiff,10,120,3.10437611820009,25.19310854998475,False,False,False,3
P10_C1_G120_Recorte_Recorte_B_2.3.tiff,10,120,3.741921469051266,30.43235038385424,False,False,False,3
P10_C1_G120_Recorte_Recorte_B_2.4.tiff,10,120,3.603456805488821,36.16294157667351,True,False,True,0
P10_C1_G120_Recorte_Recorte_B_2.5.tiff,10,120,2.865314510218592,26.02782268515462,False,False,False,3
P10_C1_G120_Recorte_Recorte_B_2.6.tiff,10,120,3.36911330307355,24.16184614095415,False,False,False,3
P10_C1_G120_Recorte_Recorte_C_3.1.tiff,10,120,3.59167522862336,29.41986469492264,False,False,False,3
P10_C1_G120_Recorte_Recorte_C_3.2.tiff,10,120,2.982343341934645,22.2920910282855,False,False,False,3
P10_C1_G120_Recorte_Recorte_C_3.3.tiff,10,120,3.381101365795641,26.21289550777895,False,False,False,3
P10_C1_G120_Recorte_Recorte_C_3.4.tiff,10,120,3.217699188550224,27.54866488270214,False,False,False,3
P10_C1_G120_Recorte_Recorte_C_3.5.tiff,10,120,3.404915520750782,24.95457851644193,False,False,False,3
P10_C1_G120_Recorte_Recorte_C_3.6.tiff,10,120,3.495752991672214,24.98863363800755,False,False,False,3
P10_C1_G180_Recorte_Recorte_A1_1.1.tiff,10,180,3.344871749824236,26.17558034557778,False,False,False,3
P10_C1_G180_Recorte_Recorte_A1_1.2.tiff,10,180,3.504999477066161,27.09724087814946,False,False,False,3
P10_C1_G180_Recorte_Recorte_A1_1.3.tiff,10,180,3.15947205214764,26.69371964225219,False,False,False,3
P10_C1_G180_Recorte_Recorte_A1_1.4.tiff,10,180,3.292861343801064,25.08986725121319,False,False,False,3
P10_C1_G180_Recorte_Recorte_A1_1.5.tiff,10,180,3.220071340299438,25.12883678260982,False,False,False,3
P10_C1_G180_Recorte_Recorte_A1_1.6.tiff,10,180,2.865108226994018,22.58969254273001,False,False,False,3
P10_C1_G180_Recorte_Recorte_A2_1.1.tiff,10,180,3.344871749824236,26.17558034557778,False,False,False,3
P10_C1_G180_Recorte_Recorte_A2_1.2.tiff,10,180,3.504999477066161,27.09724087814946,False,False,False,3
P10_C1_G180_Recorte_Recorte_A2_1.3.tiff,10,180,3.15947205214764,26.69371964225219,False,False,False,3
P10_C1_G180_Recorte_Recorte_A2_1.4.tiff,10,180,3.292861343801064,25.08986725121319,False,False,False,3
P10_C1_G180_Recorte_Recorte_A2_1.5.tiff,10,180,3.220071340299438,25.12883678260982,False,False,False,3
P10_C1_G180_Recorte_Recorte_A2_1.6.tiff,10,180,2.865108226994018,22.58969254273001,False,False,False,3
P10_C1_G180_Recorte_Recorte_B_2.1.tiff,10,180,3.84183405857336,31.13089945860263,False,False,False,3
P10_C1_G180_Recorte_Recorte_B_2.2.tiff,10,180,3.200769872915607,27.28954001951031,False,False,False,3
P10_C1_G180_Recorte_Recorte_B_2.3.tiff,10,180,3.367812569175184,25.65029482094821,False,False,False,3
P10_C1_G180_Recorte_Recorte_B_2.4.tiff,10,180,3.665400509504259,31.84370208427255,False,False,False,3
P10_C1_G180_Recorte_Recorte_B_2.5.tiff,10,180,3.552453819223437,31.05426114682071,False,False,False,3
P10_C1_G180_Recorte_Recorte_B_2.6.tiff,10,180,3.304602681623513,24.7434336202257,False,False,False,3
P10_C1_G180_Recorte_Recorte_C_3.1.tiff,10,180,2.801848036005743,21.66287749899781,False,False,False,3
P10_C1_G180_Recorte_Recorte_C_3.2.tiff,10,180,2.957049793402204,26.55756138329885,False,False,False,3
P10_C1_G180_Recorte_Recorte_C_3.3.tiff,10,180,2.931936725303551,19.83825026127993,False,False,False,3
P10_C1_G180_Recorte_Recorte_C_3.4.tiff,10,180,2.885414104448238,21.86247824609054,False,False,False,3
P10_C1_G180_Recorte_Recorte_C_3.5.tiff,10,180,2.930169875339804,24.50219528677233,False,False,False,3
P10_C1_G180_Recorte_Recorte_C_3.6.tiff,10,180,3.034096232881625,22.47905667017429,False,False,False,3
P10_C1_G40_Recorte_Recorte_A1_1.1.tiff,10,40,9.068154031579805,62.78004901292919,False,False,False,3
P10_C1_G40_Recorte_Recorte_A1_1.2.tiff,10,40,9.040351325492944,60.6836151314116,False,False,False,3
P10_C1_G40_Recorte_Recorte_A1_1.3.tiff,10,40,8.743621611817176,57.86704395536076,False,False,False,3
P10_C1_G40_Recorte_Recorte_A1_1.4.tiff,10,40,9.213595866168477,59.651205819201,False,False,False,3
P10_C1_G40_Recorte_Recorte_A1_1.5.tiff,10,40,8.038813942857992,48.68892778555827,False,False,False,3
P10_C1_G40_Recorte_Recorte_A1_1.6.tiff,10,40,7.323758242431766,44.09256164513823,False,False,False,3
P10_C1_G40_Recorte_Recorte_A2_1.1.tiff,10,40,9.068154031579805,62.78004901292919,False,False,False,3
P10_C1_G40_Recorte_Recorte_A2_1.2.tiff,10,40,9.040351325492944,60.6836151314116,False,False,False,3
P10_C1_G40_Recorte_Recorte_A2_1.3.tiff,10,40,8.743621611817176,57.86704395536076,False,False,False,3
P10_C1_G40_Recorte_Recorte_A2_1.4.tiff,10,40,9.213595866168477,59.651205819201,False,False,False,3
P10_C1_G40_Recorte_Recorte_A2_1.5.tiff,10,40,8.038813942857992,48.68892778555827,False,False,False,3
P10_C1_G40_Recorte_Recorte_A2_1.6.tiff,10,40,7.323758242431766,44.09256164513823,False,False,False,3
P10_C1_G40_Recorte_Recorte_B_2.1.tiff,10,40,6.675577774014687,42.00028326245434,False,False,False,3
P10_C1_G40_Recorte_Recorte_B_2.2.tiff,10,40,7.189788849366348,44.47912331183137,False,False,False,3
P10_C1_G40_Recorte_Recorte_B_2.3.tiff,10,40,8.430451647075907,51.88583687546584,False,False,False,3
P10_C1_G40_Recorte_Recorte_B_2.4.tiff,10,40,6.712510688143628,42.9840191746237,False,False,False,3
P10_C1_G40_Recorte_Recorte_B_2.5.tiff,10,40,7.298421510161463,44.03620192605498,False,False,False,3
P10_C1_G40_Recorte_Recorte_B_2.6.tiff,10,40,6.665444391687865,44.59935630309626,False,False,False,3
P10_C1_G40_Recorte_Recorte_C_3.1.tiff,10,40,7.153127709815485,49.29535752001625,False,False,False,3
P10_C1_G40_Recorte_Recorte_C_3.2.tiff,10,40,6.387484767351897,40.74370875719886,False,False,False,3
